Set	Size	Count	z-score	Adj. z-score	Adj. p-value	Adj. q-value	List of genes
REACTOME_HOMOLOGOUS_RECOMBINATION_REPAIR_OF_REPLICATION_INDEPENDENT_DOUBLE_STRAND_BREAKS	17	16	0.576058	0.0493017	0.480339	0.846167	MDC1(1.95606); BRCA2(1.17747); H2AFX(0.911572); RAD50(0.754478); RAD51(-1.39172); RPA2(-1.40492); BRCA1(-1.41493); RAD52(-1.42395); TP53BP1(-1.42863); RPA1(-1.44307); LIG1(-1.54124); ATM(-1.55126); MRE11A(-1.63714); BRIP1(-1.6468); NBN(-1.66091); RPA3(-1.92393); 
KEGG_PEROXISOME	78	76	0.391589	0.0414232	0.483479	0.850351	ACSL1(2.68925); DAO(2.6266); PEX1(1.88689); EHHADH(1.63668); PXMP2(1.5185); PHYH(1.32451); ACOX2(1.28606); ABCD4(1.26003); GNPAT(1.04939); AMACR(0.997794); AGXT(0.920625); SLC27A2(0.890108); PECR(0.702406); SCP2(0.524645); ACOX3(0.417442); GSTK1(-0.874211); MPV17(-1.15185); PEX11B(-1.16173); PRDX5(-1.16173); PXMP4(-1.16173); NUDT19(-1.18207); SOD2(-1.19667); HMGCL(-1.19667); PEX11G(-1.21163); PAOX(-1.24043); MPV17L(-1.24043); PEX10(-1.24043); PRDX1(-1.25419); ACAA1(-1.25419); SOD1(-1.25419); DECR2(-1.25419); NUDT12(-1.28019); PEX19(-1.29236); PIPOX(-1.30391); PEX12(-1.3148); HACL1(-1.3148); PEX16(-1.325); IDH2(-1.34313); ECH1(-1.35098); IDH1(-1.35796); PMVK(-1.35796); PEX13(-1.36403); ACOX1(-1.36921); DHRS4(-1.37819); ACOT8(-1.38883); PEX6(-1.39431); SLC25A17(-1.3987); ABCD2(-1.3987); ABCD3(-1.40806); PEX11A(-1.40893); CRAT(-1.41216); MLYCD(-1.41216); PEX5(-1.41393); HAO2(-1.41865); BAAT(-1.42395); PEX26(-1.42863); MVK(-1.43125); ACSL5(-1.45684); NOS2(-1.45684); ECI2(-1.4683); PEX2(-1.47232); PEX7(-1.49368); CROT(-1.51681); EPHX2(-1.52646); ACSL3(-1.53627); FAR1(-1.53627); ACSL6(-1.54124); PEX3(-1.55126); HSD17B4(-1.55631); DDO(-1.58177); CAT(-1.73248); HAO1(-1.73611); XDH(-1.75058); AGPS(-1.77931); PEX14(-1.82165); FAR2(-2.0455); 
BIOCARTA_HIVNEF_PATHWAY	58	55	0.704323	0.0349788	0.486048	0.85294	CHUK(3.17987); TNF(2.73922); NFKB1(1.89483); PTK2(1.44937); CRADD(1.08663); RELA(0.980934); MAP3K1(0.915015); BID(0.775823); DAXX(0.725303); CASP7(0.528911); BCL2(0.167984); TRADD(-1.12031); ACTG1(-1.18207); MAP2K7(-1.19667); BIRC3(-1.22623); BAG4(-1.22623); FADD(-1.25419); DFFA(-1.29236); TNFRSF1A(-1.3148); NFKBIA(-1.33446); CASP2(-1.35098); CASP6(-1.36403); FASLG(-1.36921); RIPK1(-1.36921); MDM2(-1.3739); LMNA(-1.37819); TRAF2(-1.38209); BIRC2(-1.38209); PSEN2(-1.38883); CFLAR(-1.39172); PRKCD(-1.39431); LMNB2(-1.39431); CASP3(-1.39663); CYCS(-1.3987); SPTAN1(-1.40608); PRKDC(-1.40608); MAP3K14(-1.40711); RASA1(-1.41493); TNFRSF1B(-1.41865); LMNB1(-1.42863); TRAF1(-1.43125); APAF1(-1.43125); CASP8(-1.44634); DFFB(-1.44634); PAK2(-1.44972); NUMA1(-1.44972); PSEN1(-1.45323); PARP1(-1.46056); CASP9(-1.51207); RB1(-1.56137); ARHGDIB(-1.57156); GSN(-1.58177); MAPK8(-1.60217); FAS(-1.62233); MAP3K5(-1.90516); 
REACTOME_ARMS_MEDIATED_ACTIVATION	17	17	0.307911	0.036014	0.485636	0.85294	BRAF(1.61395); NGF(1.47966); CDK1(0.678244); RAPGEF1(0.289397); MAPK3(-1.09373); HRAS(-1.13887); NRAS(-1.35098); CRK(-1.36921); YWHAB(-1.38883); MAP2K2(-1.3987); NTRK1(-1.47642); RAF1(-1.51681); KRAS(-1.53627); MAP2K1(-1.55126); MAPK1(-1.57666); KIDINS220(-1.59708); RAP1A(-1.65627); 
BIOCARTA_BIOPEPTIDES_PATHWAY	45	41	0.956641	0.0285877	0.488597	0.85573	PLCG1(3.15853); STAT5A(1.71981); CAMK2G(1.65334); STAT3(1.59508); GNA11(1.42198); PRKCB(1.18517); MAPT(1.13252); PTK2B(0.814508); MYLK(0.201013); MAPK3(-1.09373); HRAS(-1.13887); CALM3(-1.16173); STAT2(-1.18207); SHC1(-1.21163); STAT5B(-1.22623); CDK5(-1.25419); F2(-1.325); STAT6(-1.35098); MAP2K2(-1.3987); GNB1(-1.40217); CALM1(-1.40711); CALM2(-1.41056); CAMK2B(-1.42197); GNGT1(-1.43125); KNG1(-1.44307); STAT1(-1.47232); GRB2(-1.48062); RAF1(-1.51681); MAPK14(-1.52646); MAP2K1(-1.55126); MAPK1(-1.57666); MAPK8(-1.60217); JAK2(-1.66091); AGT(-1.66549); GNAI1(-1.66549); SOS1(-1.69146); STAT4(-1.72886); CAMK2A(-1.74335); CAMK2D(-2.13389); FYN(-2.14604); PRKCA(-2.2394); 
REACTOME_FACTORS_INVOLVED_IN_MEGAKARYOCYTE_DEVELOPMENT_AND_PLATELET_PRODUCTION	132	123	0.968163	0.0276806	0.488958	0.85573	KIF11(3.26763); RAD51C(2.48943); RAB5A(2.20138); RACGAP1(2.00366); TP53(1.84575); PRKACG(1.68229); KIF3C(1.68175); PRKACB(1.64951); KIF9(1.48108); PRKAR1A(1.15443); DOCK9(1.14807); IRF7(1.06874); HIST1H3H(1.06045); IFNA6(0.995); AK3(0.966464); GATA6(0.913004); DOCK6(0.861112); ITPK1(0.809684); SH2B2(0.799938); DOCK8(0.664816); ABL1(0.501369); GATA4(0.478753); DOCK2(0.415734); IRF2(0.330127); DOCK4(0.172073); HIST2H3D(-0.457193); HIST2H3A(-0.640114); HIST2H3C(-0.640114); HDAC1(-0.874211); KIF22(-0.874211); IRF3(-1.09373); NFE2(-1.12031); PRKACA(-1.13887); KIF20A(-1.16173); KLC2(-1.17098); SH2B1(-1.18207); GATA5(-1.21163); HMG20B(-1.22623); H3F3B(-1.24043); H3F3A(-1.25419); CDK5(-1.25419); SH2B3(-1.26745); KLC4(-1.28019); IFNA1(-1.28019); SIN3A(-1.29236); CBX5(-1.30391); MFN2(-1.30391); CDK2(-1.3148); HBE1(-1.3148); PRKAR2A(-1.33446); MAFF(-1.33446); KIF5A(-1.34313); HIST1H3J(-1.34313); KDM1A(-1.34313); VPS45(-1.35796); KIF2C(-1.36403); HIST1H3I(-1.36403); HIST1H3C(-1.36403); HIST1H3A(-1.36403); ZFYVE20(-1.36403); MAFK(-1.36403); KIF15(-1.36921); IFNA17(-1.36921); IFNA16(-1.36921); KIF23(-1.3739); KIF3B(-1.3739); HIST1H3B(-1.3739); WEE1(-1.3739); HIST1H3F(-1.38563); IFNA14(-1.38563); MFN1(-1.38883); EHD1(-1.38883); IFNA10(-1.38883); KIF4B(-1.39172); HIST1H3G(-1.39172); HIST1H3E(-1.39172); HIST1H3D(-1.39172); HBG2(-1.39431); GATA2(-1.39663); IFNA2(-1.39663); AKAP10(-1.39663); IFNA7(-1.3987); CREBBP(-1.3987); KLC3(-1.40054); IFNA8(-1.40054); EHD2(-1.40217); IFNA5(-1.40217); ZFPM1(-1.40363); CABLES2(-1.40363); HBD(-1.40363); IFNA21(-1.40608); CAPZA1(-1.40893); KLC1(-1.40976); EP300(-1.41056); KIF26A(-1.41135); IFNA4(-1.41301); AKAP1(-1.41393); CDC42(-1.41393); IFNB1(-1.41393); RAC1(-1.41393); KIF2B(-1.41603); HDAC2(-1.41727); CAPZA2(-1.42197); HBB(-1.42395); IRF1(-1.42616); GATA3(-1.42616); MYB(-1.44972); KIF5B(-1.44972); KIF18A(-1.47642); KIF2A(-1.48925); RCOR1(-1.50275); CABLES1(-1.51681); PRKAR2B(-1.64199); JAK2(-1.66091); KIFC1(-1.69944); JMJD1C(-1.95382); DOCK5(-2.00504); KIFAP3(-2.04944); DOCK3(-2.13389); DOCK10(-2.15445); ZFPM2(-2.20911); DOCK1(-2.27896); RAD51B(-2.27988); 
BIOCARTA_IL12_PATHWAY	23	20	0.0498922	0.0236818	0.490553	0.856751	IL18(1.52028); CD3D(1.3097); CD3G(1.25108); TYK2(0.711712); MAP2K6(0.344964); CCR5(-1.05664); JUN(-1.24043); ETV5(-1.39431); IL12RB1(-1.39431); CD3E(-1.3987); IFNG(-1.42863); IL12RB2(-1.43125); IL12B(-1.434); IL12A(-1.48925); MAPK14(-1.52646); MAPK8(-1.60217); JAK2(-1.66091); IL18R1(-1.68313); STAT4(-1.72886); CD247(-1.90833); 
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	140	129	-0.0360744	0.00544916	0.497826	0.860665	HLA-DQA1(3.33243); TNF(2.73922); HLA-DRA(2.54506); C2(2.52344); HLA-DRB1(2.50815); HLA-DQA2(1.29772); ACTN1(1.28566); HIST2H2AB(1.08916); HIST2H2AC(1.08916); HIST2H2BE(1.08916); HLA-DQB1(1.08885); HIST1H3H(1.06045); HIST1H2AI(1.06045); C4B(1.05108); C4A(1.05108); HIST1H2BL(1.04771); C3(1.0188); GRIN2A(0.990344); H2AFX(0.911572); C5(0.685908); HLA-DMB(0.391819); HLA-DMA(0.38279); HLA-DOB(0.0348384); HIST2H3D(-0.457193); HIST2H2BF(-0.457193); FCGR1A(-0.457193); HIST2H3A(-0.640114); HIST2H2AA4(-0.640114); HIST2H2AA3(-0.640114); HIST2H3C(-0.640114); HIST2H4B(-0.773884); HIST2H4A(-0.773884); FCGR3B(-1.09373); H2AFZ(-1.09373); SNRPD1(-1.15185); ELANE(-1.16173); HIST1H4I(-1.17098); HIST1H2AG(-1.17098); C8G(-1.18207); HIST1H2BJ(-1.19667); HIST1H2BN(-1.21163); HIST1H2AK(-1.21163); HIST1H4K(-1.21163); HIST1H2AH(-1.21163); HIST3H3(-1.22623); H3F3B(-1.24043); H3F3A(-1.25419); HIST1H4J(-1.25419); HIST1H2BM(-1.25419); HIST1H2AJ(-1.25419); HIST1H2BK(-1.25419); HIST3H2A(-1.29236); TROVE2(-1.29236); HIST3H2BB(-1.30391); HIST1H2BO(-1.30391); HIST1H2AM(-1.30391); C1S(-1.325); H2AFV(-1.33446); HIST1H3J(-1.34313); CTSG(-1.34313); HIST4H4(-1.35098); HIST1H2BB(-1.35796); SNRPD3(-1.35796); H2AFJ(-1.35796); ACTN3(-1.35796); HIST1H4L(-1.36403); HIST1H3I(-1.36403); HIST1H3C(-1.36403); HIST1H2AB(-1.36403); HIST1H4A(-1.36403); HIST1H3A(-1.36403); HIST1H4F(-1.36921); HIST1H2BD(-1.36921); HIST1H2AL(-1.3739); HIST1H4G(-1.3739); HIST1H3B(-1.3739); HIST1H2BE(-1.37819); C1R(-1.37819); HIST1H4H(-1.38209); HIST1H4B(-1.38209); HIST1H2BH(-1.38563); HIST1H3F(-1.38563); HIST1H4D(-1.38563); SSB(-1.39172); HIST1H3G(-1.39172); HIST1H3E(-1.39172); HIST1H4E(-1.39172); HIST1H2AD(-1.39172); HIST1H3D(-1.39172); FCGR2B(-1.39431); HIST1H2BI(-1.39431); HIST1H2BG(-1.39663); HIST1H2BF(-1.3987); FCGR3A(-1.40054); HIST1H2AE(-1.40054); SNRPB(-1.40217); FCGR2C(-1.40363); C1QA(-1.40492); IL10(-1.41056); H3F3C(-1.41135); HIST1H2AC(-1.41135); C1QC(-1.41135); CD28(-1.41393); HIST1H2BC(-1.41393); C1QB(-1.41393); H2AFY(-1.41493); HIST1H4C(-1.41727); TRIM21(-1.42197); IFNG(-1.42863); HLA-DRB3(-1.43125); CD40(-1.434); CD86(-1.44972); FCGR2A(-1.4683); HIST1H2BA(-1.47642); HIST1H2AA(-1.47642); ACTN4(-1.48062); C8A(-1.53135); C9(-1.54623); CD80(-1.56137); H2AFY2(-1.57156); HLA-DRB4(-1.60217); C8B(-1.6123); C7(-1.74696); ACTN2(-1.76498); C6(-1.9391); HLA-DOA(-2.20726); HLA-DPB1(-2.23065); HLA-DPA1(-2.23409); GRIN2B(-2.23628); 
BIOCARTA_ECM_PATHWAY	24	24	0.787128	0.00432871	0.498273	0.860665	PTK2(1.44937); TLN1(1.13116); PIK3CA(1.00295); ITGA1(0.898362); PXN(0.702735); MYLK(0.201013); MAPK3(-1.09373); HRAS(-1.13887); SHC1(-1.21163); PFN1(-1.3148); RHOA(-1.38209); ARHGAP5(-1.38883); ROCK1(-1.39431); MYL2(-1.39663); DIAPH1(-1.41216); SRC(-1.41301); PIK3CG(-1.45684); RAF1(-1.51681); MAP2K1(-1.55126); ITGB1(-1.56646); MAPK1(-1.57666); GSN(-1.58177); PIK3R1(-1.6468); FYN(-2.14604); 
BIOCARTA_ARENRF2_PATHWAY	13	12	0.604692	0.014984	0.494022	0.860665	FOS(1.29267); PRKCB(1.18517); FXYD2(0.714042); JUN(-1.24043); KEAP1(-1.25419); MAFF(-1.33446); MAFK(-1.36403); CREB1(-1.41056); MAPK14(-1.52646); MAPK1(-1.57666); MAPK8(-1.60217); PRKCA(-2.2394); 
BIOCARTA_STEM_PATHWAY	15	15	-0.218539	-0.00934309	0.503727	0.860665	IL2(1.66625); IL5(0.985425); IL6(0.619197); EPO(-1.05664); IL11(-1.25419); CD8A(-1.3148); CSF3(-1.3739); IL3(-1.39431); CSF2(-1.39663); IL8(-1.40054); IL4(-1.40806); CSF1(-1.41216); IL9(-1.42616); IL7(-1.44307); CD4(-1.44634); 
PID_S1P_S1P1_PATHWAY	21	21	0.642708	0.00947552	0.49622	0.860665	PLCG1(3.15853); GNAO1(1.7357); GNAI3(0.943535); ITGAV(0.791252); MAPK3(-1.09373); GNAI2(-1.21163); SPHK1(-1.35098); PLCB2(-1.37819); RHOA(-1.38209); PTGS2(-1.38563); S1PR1(-1.39172); VEGFA(-1.40363); PDGFB(-1.40976); RAC1(-1.41393); GNAZ(-1.434); KDR(-1.44307); PDGFRB(-1.57666); MAPK1(-1.57666); ITGB3(-1.6123); GNAI1(-1.66549); ABCC1(-2.07515); 
PID_P38_MK2_PATHWAY	21	21	-0.143534	0.00937867	0.496259	0.860665	MAPKAPK3(1.82754); CDC25B(1.52203); TH(0.91034); ETV1(0.632002); TCF3(-1.09373); SFN(-1.12031); MAPK11(-1.15185); HSPB1(-1.28019); SRF(-1.28019); LSP1(-1.36921); TSC2(-1.36921); YWHAB(-1.38883); YWHAZ(-1.39431); YWHAG(-1.40492); YWHAH(-1.40711); CREB1(-1.41056); YWHAQ(-1.42197); MAPKAPK2(-1.44307); YWHAE(-1.48925); RAF1(-1.51681); MAPK14(-1.52646); 
REACTOME_ANTIGEN_PROCESSING_CROSS_PRESENTATION	76	69	0.226981	-0.0142725	0.505694	0.860665	MRC2(3.28561); PSMB5(2.52912); HLA-B(2.50437); HLA-C(2.03061); PSMB2(1.25383); CALR(1.05361); SEC61A2(0.804033); ITGAV(0.791252); SEC61G(0.772397); NCF4(0.744021); PSMC5(0.72823); HLA-A(0.299871); HLA-G(0.253972); HLA-F(0.219182); FCGR1A(-0.457193); MRC1(-0.773884); PSMB10(-1.15185); PSME2(-1.15185); SEC61B(-1.17098); PSMB4(-1.18207); PSMC2(-1.18207); PSMD4(-1.19667); PSME1(-1.21163); UBA52(-1.22623); CTSS(-1.25419); PSMD2(-1.26745); PSMD7(-1.26745); PSMA3(-1.26745); PSMD8(-1.26745); PSMB6(-1.28019); PSMC6(-1.29236); PSMD11(-1.29236); CYBA(-1.30391); PDIA3(-1.30391); PSMA7(-1.325); PSMD12(-1.35796); RPS27A(-1.35796); PSMC4(-1.36921); PSMA5(-1.3739); PSMC3(-1.3739); PSMD5(-1.38209); PSMB3(-1.38883); PSMD9(-1.39431); PSMD6(-1.40363); B2M(-1.40363); PSMA2(-1.40363); PSMD3(-1.40363); PSMA4(-1.40492); SEC61A1(-1.40806); PSMC1(-1.40806); PSMA8(-1.41216); NCF2(-1.41727); PSMB1(-1.42197); PSMB7(-1.42863); PSMD1(-1.43992); PSMA6(-1.43992); PSMA1(-1.44307); PSMD14(-1.46438); PSMF1(-1.47642); CD207(-1.48925); PSMD13(-1.53627); LNPEP(-1.57156); PSME4(-1.63224); CD36(-1.75779); ITGB5(-1.89878); PSMB8(-2.18856); PSMB9(-2.19374); TAP1(-2.19811); TAP2(-2.205); 
REACTOME_VITAMIN_B5_PANTOTHENATE_METABOLISM	11	11	-0.811733	0.0163324	0.493485	0.860665	PANK3(1.87817); PANK1(0.93481); FASN(-1.25419); COASY(-1.30391); PANK4(-1.3148); SLC5A6(-1.38883); PPCS(-1.3987); AASDHPPT(-1.40054); PPCDC(-1.41216); PANK2(-1.41216); SLC25A16(-1.41393); 
REACTOME_BETA_DEFENSINS	42	36	-3.00917	0.00457291	0.498176	0.860665	DEFB112(1.78806); TLR1(0.977726); DEFB132(0.688182); DEFB130(-0.178164); DEFB104A(-0.178164); DEFB106A(-0.178164); DEFB105A(-0.178164); DEFB107A(-0.178164); DEFB107B(-0.178164); DEFB105B(-0.178164); DEFB106B(-0.178164); DEFB104B(-0.178164); CCR2(-1.13887); DEFB108B(-1.18207); DEFB124(-1.19667); DEFB131(-1.19667); DEFB110(-1.21163); DEFB123(-1.28019); DEFB125(-1.33446); DEFB118(-1.34313); DEFB128(-1.36921); DEFB113(-1.37819); DEFB115(-1.37819); DEFB114(-1.40054); DEFB116(-1.40363); DEFB119(-1.40492); TLR2(-1.40608); DEFB121(-1.40711); DEFB134(-1.41056); DEFB129(-1.41056); DEFB126(-1.41603); DEFB127(-1.41865); DEFB136(-1.42021); DEFB135(-1.4369); CCR6(-1.74335); DEFB1(-1.77216); 
REACTOME_SMAD2_SMAD3_SMAD4_HETEROTRIMER_REGULATES_TRANSCRIPTION	27	25	-0.0385161	-0.00624986	0.502493	0.860665	CDKN2B(3.2927); WWTR1(1.65549); TFDP1(1.02287); SMAD7(0.923316); HDAC1(-0.874211); TGIF2(-1.00775); JUNB(-1.13887); E2F4(-1.21163); UBA52(-1.22623); MEN1(-1.24043); RBL1(-1.30391); SP1(-1.325); CCNT1(-1.33446); CDK9(-1.34313); RPS27A(-1.35796); SMAD4(-1.38209); MYC(-1.38563); E2F5(-1.38883); SERPINE1(-1.39172); CCNT2(-1.40217); CCNC(-1.41135); TGIF1(-1.41727); SMAD2(-1.54124); SMAD3(-1.95957); CDK8(-1.97906); 
REACTOME_REGULATION_OF_PYRUVATE_DEHYDROGENASE_PDH_COMPLEX	13	10	-0.480481	0.00868183	0.496536	0.860665	PDHX(1.40453); PDHB(0.90269); PDPR(-1.09373); DLAT(-1.26745); PDP2(-1.35796); PDK2(-1.39663); PDP1(-1.40054); DLD(-1.42197); PDK4(-1.43992); PDK1(-1.57666); 
REACTOME_AMINO_ACID_TRANSPORT_ACROSS_THE_PLASMA_MEMBRANE	31	29	0.787405	0.0147784	0.494105	0.860665	SLC6A20(1.56544); SLC38A4(1.00692); SLC16A10(0.757384); SLC7A11(0.720018); SLC1A4(0.714821); SLC3A1(0.571028); SLC7A2(0.407689); SLC7A3(-0.178164); SLC38A3(-1.17098); SLC43A1(-1.30391); SLC6A18(-1.30391); SLC1A5(-1.33446); SLC38A2(-1.34313); SLC6A19(-1.38563); SLC7A6(-1.38883); SLC7A10(-1.39172); SLC3A2(-1.39663); SLC43A2(-1.40711); SLC6A12(-1.40976); SLC6A15(-1.41216); SLC7A5(-1.42395); SLC36A2(-1.47642); SLC7A7(-1.48489); SLC7A8(-1.49368); SLC7A9(-1.57156); SLC38A1(-1.60724); SLC36A1(-1.65156); SLC6A6(-1.76498); SLC7A1(-1.92084); 
REACTOME_TRANSCRIPTION_COUPLED_NER_TC_NER	45	42	0.0223682	-0.00514124	0.502051	0.860665	ERCC6(1.57268); ERCC1(1.48082); POLE(1.295); POLR2L(1.19844); GTF2H3(1.07882); RFC5(1.0131); POLD2(0.811773); POLD3(0.783214); GTF2H4(0.216222); POLR2J(-1.12031); POLR2F(-1.12031); RFC2(-1.13887); POLD4(-1.15185); POLR2G(-1.15185); POLR2I(-1.18207); POLR2H(-1.28019); XAB2(-1.28019); POLR2D(-1.325); PCNA(-1.35098); CCNH(-1.36921); TCEA1(-1.36921); POLD1(-1.36921); POLR2E(-1.37819); RFC4(-1.38209); CDK7(-1.38563); POLE2(-1.38883); ERCC2(-1.39172); POLR2K(-1.3987); POLR2C(-1.40054); RPA2(-1.40492); ERCC3(-1.40711); POLR2A(-1.40711); GTF2H1(-1.43125); ERCC4(-1.43992); RPA1(-1.44307); ERCC5(-1.45684); ERCC8(-1.45684); MNAT1(-1.4683); LIG1(-1.54124); POLR2B(-1.58177); RPA3(-1.92393); RFC3(-2.03513); 
REACTOME_CITRIC_ACID_CYCLE_TCA_CYCLE	26	18	-0.503345	0.0137692	0.494507	0.860665	OGDH(1.62369); IDH3A(1.29534); FH(0.878774); SUCLG2(0.214687); SDHD(-1.18207); CS(-1.28019); IDH2(-1.34313); MDH2(-1.34313); DLST(-1.3739); IDH3B(-1.39663); ACO2(-1.40217); SDHA(-1.41301); DLD(-1.42197); SDHB(-1.43992); SUCLG1(-1.46056); NNT(-1.48062); SDHC(-1.48489); SUCLA2(-1.54623); 
REACTOME_NUCLEOTIDE_EXCISION_REPAIR	51	47	-0.112358	-0.00366563	0.501462	0.860665	ERCC6(1.57268); ERCC1(1.48082); POLE(1.295); POLR2L(1.19844); GTF2H3(1.07882); RFC5(1.0131); POLD2(0.811773); POLD3(0.783214); RAD23B(0.543169); GTF2H4(0.216222); DDB1(-0.640114); POLR2J(-1.12031); POLR2F(-1.12031); RFC2(-1.13887); POLD4(-1.15185); POLR2G(-1.15185); POLR2I(-1.18207); POLR2H(-1.28019); XAB2(-1.28019); POLR2D(-1.325); PCNA(-1.35098); CCNH(-1.36921); TCEA1(-1.36921); POLD1(-1.36921); POLR2E(-1.37819); RFC4(-1.38209); CDK7(-1.38563); POLE2(-1.38883); ERCC2(-1.39172); DDB2(-1.39431); POLR2K(-1.3987); XPA(-1.3987); POLR2C(-1.40054); RPA2(-1.40492); ERCC3(-1.40711); POLR2A(-1.40711); GTF2H1(-1.43125); XPC(-1.43992); ERCC4(-1.43992); RPA1(-1.44307); ERCC5(-1.45684); ERCC8(-1.45684); MNAT1(-1.4683); LIG1(-1.54124); POLR2B(-1.58177); RPA3(-1.92393); RFC3(-2.03513); 
REACTOME_CELL_CELL_JUNCTION_ORGANIZATION	56	55	1.21329	-0.00711189	0.502837	0.860665	PVRL2(1.44895); CLDN7(1.43135); CDH5(1.41987); CDH2(1.28826); CDH4(1.18409); CDH7(1.10733); CDH13(0.872275); PVRL4(0.792779); PARD6G(0.601294); CADM1(0.601264); PARD3(0.534451); CDH10(0.244236); CADM2(0.217378); CDH8(0.0443503); CDH12(0.00413107); PARD6A(-0.949317); CDH24(-1.09373); CLDN3(-1.15185); CRB3(-1.16173); CLDN4(-1.18207); CLDN6(-1.19667); CLDN9(-1.19667); CLDN19(-1.28019); CLDN15(-1.29236); CLDN11(-1.325); CDH15(-1.35796); PARD6B(-1.36403); PVR(-1.36403); CLDN22(-1.36921); JUP(-1.37819); CTNND1(-1.38209); F11R(-1.38563); CLDN17(-1.40217); CLDN5(-1.40217); PRKCI(-1.40608); CLDN8(-1.41056); CTNNB1(-1.41135); PVRL3(-1.41216); CLDN18(-1.42021); CDH3(-1.4369); MPP5(-1.49368); CLDN20(-1.50275); CLDN16(-1.52646); CLDN1(-1.55126); PVRL1(-1.55631); CLDN12(-1.59708); CDH1(-1.6468); CTNNA1(-1.75058); CLDN10(-1.91462); CDH6(-1.94208); CLDN14(-1.9567); CDH9(-1.99234); CDH11(-2.05514); INADL(-2.15998); CDH18(-2.19831); 
REACTOME_TRANSPORT_OF_INORGANIC_CATIONS_ANIONS_AND_AMINO_ACIDS_OLIGOPEPTIDES	94	87	1.19727	0.00519762	0.497926	0.860665	SLC12A2(1.79475); SLC6A20(1.56544); SLC12A6(1.53872); SLC1A7(1.365); SLC34A2(1.21839); SLC4A3(1.18951); SLC12A7(1.18663); SLC38A4(1.00692); SLC26A9(0.962404); SLC16A10(0.757384); SLC7A11(0.720018); SLC1A4(0.714821); SLC1A3(0.60078); SLC15A4(0.586576); SLC3A1(0.571028); SLC7A2(0.407689); SLC4A4(0.384799); SLC24A4(0.272449); SLC8A1(0.26239); SLC9A9(0.252022); SLC24A2(0.157281); SLC8A3(-0.00778229); SLC24A3(-0.0442939); SLC7A3(-0.178164); SLC34A1(-1.15185); SLC25A10(-1.16173); SLC38A3(-1.17098); SLC4A9(-1.19667); SLC26A6(-1.21163); SLC26A1(-1.21163); SLC12A4(-1.22623); SLC4A1(-1.22623); SLC9A5(-1.26745); SLC24A1(-1.30391); SLC43A1(-1.30391); SLC6A18(-1.30391); SLC4A2(-1.3148); SLC5A5(-1.325); SLC1A5(-1.33446); SLC17A7(-1.34313); SLC38A2(-1.34313); SLC24A6(-1.34313); SLC9A1(-1.35098); SLC20A1(-1.37819); SLC6A19(-1.38563); SLC7A6(-1.38883); SLC7A10(-1.39172); SLC3A2(-1.39663); SLC15A3(-1.40054); SLC32A1(-1.40363); SLC43A2(-1.40711); SLC6A12(-1.40976); SLC9A3(-1.41056); SLC6A15(-1.41216); SLC8A2(-1.41393); SLC26A2(-1.41727); SLC12A5(-1.42197); SLC7A5(-1.42395); SLC26A4(-1.43125); SLC12A1(-1.43125); SLC20A2(-1.434); SLC15A2(-1.43992); SLC17A8(-1.4683); SLC36A2(-1.47642); SLC1A6(-1.48062); SLC7A7(-1.48489); SLC7A8(-1.49368); SLC26A3(-1.49818); SLC5A8(-1.54623); SLC17A6(-1.55631); SLC7A9(-1.57156); SLC9A8(-1.58688); SLC17A5(-1.60217); SLC38A1(-1.60724); SLC4A5(-1.61733); SLC36A1(-1.65156); SLC17A1(-1.69944); SLC4A8(-1.72886); SLC9A2(-1.73973); SLC4A7(-1.74335); SLC15A1(-1.74696); SLC6A6(-1.76498); SLC26A7(-1.84577); SLC1A1(-1.8891); SLC7A1(-1.92084); SLC9A4(-2.01713); SLC1A2(-2.10053); 
REACTOME_SMOOTH_MUSCLE_CONTRACTION	25	23	0.155623	-0.00157088	0.500627	0.860665	SORBS3(1.37027); TPM2(1.13725); TLN1(1.13116); ITGA1(0.898362); ACTA2(0.502356); MYLK(0.201013); MYL9(-0.874211); MYL6(-1.05664); MYL6B(-1.09373); CALM3(-1.16173); TPM3(-1.33446); CALM1(-1.40711); TPM4(-1.40893); CALM2(-1.41056); LMOD1(-1.42616); MYL12B(-1.46056); VCL(-1.50275); ACTG2(-1.51207); TPM1(-1.58177); MYH11(-1.80414); ITGB5(-1.89878); CALD1(-2.08768); SORBS1(-2.18585); 
REACTOME_ADP_SIGNALLING_THROUGH_P2RY12	21	21	0.0213069	0.00833186	0.496676	0.860665	GNB4(1.41698); GNAI3(0.943535); GNG13(0.913004); P2RY12(0.862537); GNG2(0.379503); GNB2(-1.13887); GNG8(-1.17098); GNG3(-1.18207); GNAI2(-1.21163); GNB3(-1.30391); GNGT2(-1.38209); GNG10(-1.40217); GNB1(-1.40217); GNG5(-1.41135); GNG11(-1.42616); GNGT1(-1.43125); GNB5(-1.50738); GNG7(-1.56646); GNG4(-1.6123); GNAI1(-1.66549); GNG12(-1.88258); 
